rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
4094,real,has_nurs,0.038816725958925,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4097,real,has_nurs,0.0353001790305898,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4099,real,has_nurs,0.0285388107357523,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4101,real,has_nurs,0.0114755625836991,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4102,real,has_nurs,0.0282674477278771,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4109,real,has_nurs,0.0311869842485282,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4111,real,has_nurs,0.0180353737636231,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4159,real,has_nurs,0.0346221320192024,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4168,real,has_nurs,0.0253697039286123,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4226,real,has_nurs,0.0185760880554989,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4238,real,has_nurs,0.0223973747064202,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4349,real,has_nurs,0.023503049159868,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4354,real,has_nurs,0.0234428574683791,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4360,real,has_nurs,0.00877552927581377,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4361,real,has_nurs,0.023673315925783,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4363,real,has_nurs,0.0192198568853776,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4365,real,has_nurs,0.025514215414132,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4415,real,has_nurs,0.02446345832887,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4434,real,has_nurs,0.0427061900038289,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4473,real,has_nurs,-0.0336903497839437,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4971,real,has_nurs,0.0961189754529075,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4972,real,has_nurs,0.124556137526917,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4973,real,has_nurs,0.0873865877731966,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4983,real,has_nurs,0.132024297344126,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4988,real,has_nurs,0.125921178272251,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4994,real,has_nurs,0.14695835044518,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4996,real,has_nurs,0.118590463625442,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4997,real,has_nurs,0.105429360193161,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5005,real,has_nurs,0.142994783584406,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5043,real,has_nurs,0.0855723082189017,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5082,real,has_nurs,0.115214028160944,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5083,real,has_nurs,0.0857647615945624,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
